Drug Name,Company,Active Ingredient,Indication,Dosage and Administration,Side Effects,Use in pregnancy,,
Almex Suspension,ACI,Albendazole 200 mg/5 ml,Treatment of intestinal worm infestations,Single dose of 400 mg (10 ml) for children over 2 years; 200 mg (5 ml) for children 1–2 years,"Abdominal pain, nausea, dizziness","Contraindicated, especially in the first trimester",,
Helben Suspension,Healthcare,Albendazole 200 mg/5 ml,Broad-spectrum anthelmintic for various worm infections,Single dose of 400 mg (10 ml) for children over 2 years,"Gastrointestinal discomfort, headache",Not recommended,,
Mebantrin Suspension,Renata,Mebendazole 100 mg/5 ml,"Treatment of nematode infections like pinworm, roundworm",100 mg (5 ml) twice daily for 3 days,"Abdominal pain, diarrhea, rash",Use with caution; consult a physician,,
Solas Suspension,Square,Mebendazole 100 mg/5 ml,Effective against a range of helminth infections,100 mg (5 ml) twice daily for 3 days,Rare; may include gastrointestinal upset,Not recommended unless necessary,,
Neosaline,Sk+f,Oral Rehydration Salts (WHO formula),Dehydration due to diarrhea,As per WHO guidelines; volume based on weight and age,Rare; may include nausea or bloating,Safe,,
Centamol Syrup,Opsonin,Paracetamol 120 mg/5 ml,Relief of fever and mild to moderate pain in children,10–15 mg/kg every 4–6 hours; not exceeding 60 mg/kg/day,Generally well-tolerated; rare allergic reactions,Considered safe when used as directed,,
Hedex Syrup,ACI,Paracetamol 120 mg/5 ml,Relief of fever and pain in pediatric patients,10–15 mg/kg every 4–6 hours; maximum 4 doses in 24 hours,Rare; may include skin rash or liver enzyme elevation with overdose,Safe when used appropriately,,
Zincolife Syrup,Square,Zinc Sulfate Monohydrate 10 mg/5 ml,Zinc supplementation in diarrhea,20 mg/day for 10–14 days,Mild gastrointestinal irritation,Safe,,
Zifol Pediatric Drops,Renata Limited,Zinc Sulfate Monohydrate 10 mg/5 ml,Zinc supplementation in diarrhea,20 mg/day for 10–14 days,Mild gastrointestinal irritation,Safe,,
Zeroworm Suspension,Sk+f,Albendazole 200 mg/5 ml,Treatment of intestinal worm infestations,Single dose of 400 mg (10 ml) for children over 2 years; 200 mg (5 ml) for children 1–2 years,"Abdominal pain, nausea, dizziness","Contraindicated, especially in the first trimester",,
Vermox Suspension,Healthcare,Mebendazole 100 mg/5 ml,Effective against a range of helminth infections,100 mg (5 ml) twice daily for 3 days,Rare; may include gastrointestinal upset,Not recommended unless necessary,,
Welzinc Syrup,Renata,Zinc Sulfate Monohydrate 10 mg/5 ml,Zinc supplementation in diarrhea,20 mg/day for 10–14 days,Mild gastrointestinal irritation,Safe,,
Ketoral,Square,Ketoconazole,"Treatment of fungal infections such as dermatophytosis, candidiasis, and seborrheic dermatitis","Apply topically to the affected area once or twice daily, or as directed by a physician","Possible local irritation, itching, or redness at the application site.",Use with caution; consult a healthcare provider before use,,
Fungidal Cream,Square,Miconazole Nitrate,"Effective against tinea infections, cutaneous candidiasis, and pityriasis versicolor.",Apply to the affected area twice daily for 2-4 weeks,"Mild burning, stinging, or irritation may occur.",Generally considered safe; consult a healthcare provider,,
Sertacon Cream,Opsonin ,Sertaconazole Nitrate 2%,"Treatment of dermatophytosis, candidiasis, and seborrheic dermatitis",Apply to the affected area once or twice daily for 2-4 weeks,Possible local irritation or allergic reactions, Use only if clearly needed; consult a healthcare provider,,
Ciclorox,Opsonin ,Ciclopirox Olamine,"Treatment of tinea infections, candidiasis, and seborrheic dermatitis",Apply to the affected area twice daily for 2-4 weeks,"Possible burning, redness, or itching at the application site",Use with caution; consult a healthcare provider,,
Aclobet N,Acme,"Clobetasol Propionate 0.05%, Neomycin Sulphate 0.5%, Nystatin 100,000 IU",Treatment of inflammatory skin conditions with secondary bacterial or fungal infections.,Apply a thin layer to the affected area once or twice daily,"Skin thinning, irritation, or allergic reactions may occur",Use only if clearly needed; consult a healthcare provider,,
Exinil,Acme,"Econazole Nitrate 1%, Triamcinolone Acetonide 0.1%",Treatment of fungal skin infections with associated inflammation,Apply to the affected area twice daily for 2-4 weeks,Possible skin irritation or allergic reactions,Use with caution; consult a healthcare provider,,
Terbifin,Aristopharma,Terbinafine Hydrochloride,"Treatment of tinea infections, including athlete's foot, jock itch, and ringworm",Apply to the affected area once or twice daily for 1-2 weeks,Possible local irritation or allergic reactions,Use only if clearly needed; consult a healthcare provider,,
Vorinox,Opsonin,Voriconazole,"Treatment of serious fungal infections, including aspergillosis and candidiasis",Dosage varies based on infection severity; follow the physician's instructions,"Possible visual disturbances, liver enzyme abnormalities, or skin reactions", Contraindicated; consult a healthcare provider,,
Gynastin,Acme,"Metronidazole, Neomycin Sulphate, Nystatin, Polymyxin B",Treatment of mixed vaginal infections caused by bacteria and fungi,Insert one suppository vaginally at bedtime for 7 days,Possible local irritation or allergic reactions,Use with caution; consult a healthcare provider,,
Clopirox Cream,Square,Ciclopirox Olamine 1%,"Treatment of dermatomycoses, including tinea pedis, tinea cruris, tinea corporis, and candidal infections.",Apply to the affected area twice daily for 2–4 weeks,"Mild burning, redness, or itching at the application site",Use with caution; consult a healthcare provider,,
Oxifun Cream,Square,Oxiconazole Nitrate 1%,"Treatment of fungal skin infections such as athlete's foot, jock itch, and ringworm",Apply once or twice daily for 2–4 weeks,Possible local irritation or allergic reactions,Use only if clearly needed; consult a healthcare provider,,
Mycofast Cream,Incepta,Sertaconazole Nitrate 2%,Treatment of interdigital tinea pedis and other topical fungal infections, Apply to the affected area twice daily for 4 weeks,"Contact dermatitis, dry skin, burning sensation, application site tenderness",Use only if the potential benefit justifies the potential risk; consult a healthcare provider,,
Aristoderm Cream,Aristopharma,"Betamethasone Dipropionate 0.05%, Clotrimazole 1%, Gentamicin Sulfate 0.1%","Treatment of corticosteroid-responsive dermatoses complicated by bacterial and fungal infections, including tinea pedis, tinea cruris, tinea corporis, and eczema",Apply gently to the affected skin areas twice daily," Rarely, hypopigmentation, burning, erythema, and exudation", Use only if the potential benefit justifies the potential risk; consult a healthcare provider,,
Fungitac Cream,Acme,Sertaconazole Nitrate 2%,"Treatment of tinea pedis, tinea cruris, tinea corporis, and candidal infections", Apply to the affected area twice daily for 2–4 weeks,"Mild burning, stinging, or irritation may occur",Use with caution; consult a healthcare provider,,
Skinabin Tablet,Acme,Griseofulvin 500 mg,"Treatment of dermatophytosis of the skin, hair, and nails",500 mg daily in single or divided doses; duration depends on the infection site,"Headache, gastrointestinal upset, photosensitivity, allergic reactions",Contraindicated; consult a healthcare provider,,
Terbifin Cream,Aristopharma,Terbinafine Hydrochloride 1%,"Treatment of tinea infections, including athlete's foot, jock itch, and ringworm",Apply to the affected area once or twice daily for 1–2 weeks,Possible local irritation or allergic reactions,Use only if clearly needed; consult a healthcare provider,,
Fluconazole Cream,Orion,Fluconazole 0.5%,Treatment of cutaneous candidiasis and other fungal skin infections,Apply to the affected area once or twice daily for 2–4 weeks,Possible local irritation or allergic reactions, Use only if clearly needed; consult a healthcare provider,,
Vorinox Cream,Opsonin,Voriconazole 1%,"Treatment of serious fungal infections, including aspergillosis and candidiasis",Apply to the affected area as directed by a physician,"Possible visual disturbances, liver enzyme abnormalities, or skin reactions",Contraindicated; consult a healthcare,,
Lulitop Cream,Square,Luliconazole 1% w/w,"Treatment of tinea pedis, tinea cruris, and tinea corporis",Apply once daily to the affected area for 1–2 weeks,Mild application site reactions like itching or redness,Use with caution; consult a healthcare provider,,
Terbex Cream,Beximco,Terbinafine Hydrochloride 1%,"Treatment of fungal skin infections such as athlete's foot, jock itch, and ringworm",Apply to the affected area once or twice daily for 1–2 weeks,Possible local irritation or allergic reactions,Use only if clearly needed; consult a healthcare provider,,
Neosten Cream,Beximco,"Clotrimazole 1%, Betamethasone Dipropionate 0.05%",Treatment of fungal skin infections with associated inflammation,Apply to the affected area twice daily for 2–4 weeks,"Skin irritation, dryness, or allergic reactions",Use with caution; consult a healthcare provider,,
Neotincol Cream,Beximco,"Clotrimazole 1%, Neomycin Sulfate 0.5%, Betamethasone Dipropionate 0.05%",Treatment of mixed fungal and bacterial skin infections with inflammation,Apply to the affected area twice daily for up to 2 weeks,"Possible skin thinning, irritation, or allergic reactions",Use only if clearly needed; consult a healthcare provider,,
Aristocort Plus Cream,Aristopharma,"Econazole Nitrate 1%, Triamcinolone Acetonide 0.1%","Treatment of dermatomycosis caused by dermatophytes, yeasts, and fungi with inflammatory and allergic symptoms",Apply to the affected area twice daily for 2–4 weeks,"Mild burning, stinging, or irritation may occur",Use only if the potential benefit justifies the potential risk; consult a healthcare provider,,
Afun Cream,Square,Clotrimazole 1%,"Treatment of fungal skin infections such as athlete's foot, jock itch, and ringworm", Apply to the affected area twice daily for 2–4 weeks,Possible local irritation or allergic reactions,Generally considered safe; consult a healthcare provider,,
Ticas Cream,Square,Clobetasol Propionate 0.05%,Treatment of inflammatory skin conditions responsive to corticosteroids,Apply a thin layer to the affected area once or twice daily,"Skin thinning, irritation, or allergic reactions",Use only if clearly needed; consult a healthcare provider,,
Pevitin Cream,Square,Clotrimazole 1%,"Treatment of fungal skin infections such as athlete's foot, jock itch, and ringworm",Apply to the affected area twice daily for 2–4 weeks,"Skin irritation, dryness, or allergic reactions",Use with caution; consult a healthcare provider,,
Tenafin Cream,Beximco,Butenafine Hydrochloride 1%,"Treatment of tinea pedis, tinea cruris, and tinea corporis",Apply a thin layer to the affected area once daily for 2 weeks,"Possible local irritation, burning, or itching", Use only if clearly needed; consult a healthcare provider,,
Derbicil Cream,Incepta,Terbinafine Hydrochloride 1%,"Treatment of fungal skin infections such as athlete's foot, jock itch, and ringworm",Apply to the affected area once or twice daily for 1–2 weeks,Possible local irritation or allergic reactions,Use only if clearly needed; consult a healthcare provider,,
Dermasol-N Cream,Square ,"Clobetasol Propionate 0.05%, Neomycin Sulphate 0.5%, Nystatin 100,000 IU/g",Treatment of corticosteroid-responsive dermatoses complicated by bacterial and fungal infections,Apply to the affected area twice daily for up to 2 weeks,"Skin irritation, dryness, or allergic reactions",Use only if clearly needed; consult a healthcare provider,,
Dermex NN Cream,Opsonin,"Clobetasol Propionate 0.05%, Neomycin Sulphate 0.5%, Nystatin 100,000 IU/g",Treatment of inflammatory skin conditions with secondary bacterial and fungal infections,Apply to the affected area twice daily for up to 2 weeks,"Possible skin thinning, irritation, or allergic reactions",Use only if clearly needed; consult a healthcare provider,,
Xzema Cream,Orion,"Fusidic Acid 2%, Betamethasone 0.1%",Treatment of eczema and dermatitis with secondary bacterial infections,Apply to the affected area twice daily for up to 2 weeks,"Skin irritation, dryness, or allergic reactions",Use only if clearly needed; consult a healthcare provider,,
Dermasol Plus Ointment,Square,"Clobetasol Propionate 0.05%, Salicylic Acid 3%",Treatment of psoriasis and other corticosteroid-responsive dermatoses,Apply to the affected area once or twice daily,"Skin irritation, dryness, or allergic reactions",Use only if clearly needed; consult a healthcare provider,,
Dermex S Ointment,Opsonin,"Clobetasol Propionate 0.05%, Salicylic Acid 3%",Treatment of psoriasis and other corticosteroid-responsive dermatoses,Apply to the affected area once or twice daily,"Skin irritation, dryness, or allergic reactions",Use only if clearly needed; consult a healthcare provider,,
Dermasol Cream,Square ,Clobetasol Propionate 0.05%,Treatment of inflammatory skin conditions such as eczema and psoriasis,Apply to the affected area once or twice daily," Skin irritation, dryness, or allergic reactions", Use only if clearly needed; consult a healthcare provider,,
Dermex Cream,Opsonin,Clobetasol Propionate 0.05%,Treatment of inflammatory skin conditions such as eczema and psoriasis,Apply to the affected area once or twice daily,"Skin irritation, dryness, or allergic reactions",Use only if clearly needed; consult a healthcare provider,,
Xfin Cream,Incepta,Terbinafine Hydrochloride 1%,"Fungal infections of the skin such as athlete's foot (tinea pedis), jock itch (tinea cruris), ringworm (tinea corporis), cutaneous candidiasis, and pityriasis versicolor",Apply topically once daily for 1–2 weeks depending on the infection type and severity,"Mild local irritation, itching, redness, burning sensation, or peeling at the application site",Use only if clearly needed and under physician supervision,,
Nispore Capsule,Incepta,Fluconazole,"Treatment of fungal infections such as candidiasis, cryptococcal meningitis, and dermatophytosis",Dosage varies based on infection type; commonly 150 mg as a single dose for vaginal candidiasis,"Nausea, abdominal pain, diarrhea, headache, dizziness",Use only if clearly needed; consult a healthcare provide,,
Diflu Capsule,Aristopharma,reatment of systemic and superficial fungal infections,Treatment of systemic and superficial fungal infections,Typically 150 mg once daily; duration depends on infection severity,"Headache, skin rash, gastrointestinal discomfort",Use only if clearly needed; consult a healthcare provider,,
Terbin Cream,Opsonin,Terbinafine Hydrochloride 1%,"Treatment of fungal skin infections including tinea pedis, tinea cruris, and tinea corporis",Apply to the affected area once or twice daily for 1–2 weeks,Possible local irritation or allergic reactions,Use only if clearly needed; consult a healthcare provider,,
Flucon Capsule,Opsonin,Fluconazole,Effective against various fungal infections including candidiasis and cryptococcosis,Standard dose is 150 mg; adjust based on infection type,"Nausea, vomiting, abdominal pain, diarrhea",Use only if clearly needed; consult a healthcare provider,,
Terbikill Cream,Acme,Terbinafine Hydrochloride 1%,"Treatment of dermatophyte infections such as tinea pedis, tinea cruris, and tinea corporis",Apply once or twice daily for 1–2 weeks,"Mild irritation, redness, or itching at the application site",Use only if clearly needed; consult a healthcare provider,,
Fluconal Tablet,Acme,Fluconazole,Treatment of fungal infections including oropharyngeal and esophageal candidiasis.,150 mg as a single dose or as prescribed; duration varies,"Headache, dizziness, gastrointestinal upset",Use only if clearly needed; consult a healthcare provider,,
Terbex Cream,Beximco,Terbinafine Hydrochloride 1%,"Effective against fungal infections like athlete's foot, jock itch, and ringworm",Apply to the affected area once daily for 1–2 weeks,Possible skin irritation or allergic reactions,Use only if clearly needed; consult a healthcare provider,,
Flucoder Capsule,Es+f,Fluconazole,Used for treating fungal infections such as candidiasis and cryptococcal meningitis,Typically 150 mg once daily; adjust as necessary,"Nausea, abdominal pain, diarrhea, headache",Use only if clearly needed; consult a healthcare provider,,
Mycofast Cream,Incepta,Sertaconazole Nitrate 2%,"Treatment of superficial fungal infections including tinea pedis, tinea cruris, and tinea corporis",Apply to the affected area twice daily for 2–4 weeks,"Possible local irritation, burning, or itching",Use only if clearly needed; consult a healthcare provider,,
Omastin Capsule,Beximco,Fluconazole,Effective against a range of fungal infections including vaginal candidiasis,150 mg as a single dose for uncomplicated infections; follow physician's guidance,"Nausea, headache, skin rash",Use only if clearly needed; consult a healthcare provider,,
Sercoza Cream,Orion,Sertaconazole Nitrate 2%,"Treatment of dermatophytoses such as tinea pedis, tinea cruris, and tinea corporis",Apply twice daily for 2–4 weeks,Possible skin irritation or allergic reactions,Use only if clearly needed; consult a healthcare provider,,
Lucan-R Capsule,Renata,Fluconazole USP,Treatment of fungal infections including systemic and superficial candidiasis, Standard dose is 150 mg; duration depends on infection type,"Gastrointestinal discomfort, headache, dizziness",Use only if clearly needed; consult a healthcare provider,,
Flucanex Capsule,Jenphar,Fluconazole,Used for various fungal infections including candidiasis and cryptococcosis,Typically 150 mg once daily; adjust based on infection severity,"Nausea, vomiting, abdominal pain",Use only if clearly needed; consult a healthcare provider,,
Flubest Capsule,Jayson,Fluconazole,Treatment of fungal infections such as vaginal candidiasis and cryptococcal meningitis,150 mg as a single dose or as prescribed; duration varies,"Headache, nausea, abdominal discomfort",Use only if clearly needed; consult a healthcare provider,,
